agpID,latin_text
AGP-EDR167868,Liberalis
AGP-EDR128749,"D D D
D D D"
AGP-EDR149207,BACTEICIEO
AGP-EDR149161,nox
AGP-EDR149300,CCCLXXXVI
AGP-EDR128547,XII
AGP-EDR175943,Genicius
AGP-EDR180454,Iam
AGP-EDR166496,Clavos LXXXVII
AGP-EDR159689,quos ego sed
AGP-EDR151845,Sabinus
AGP-EDR180455,A X
AGP-EDR149151,ABCDEFGHIKLMN
AGP-EDR180460,XIX
AGP-EDR180462,XXXII
AGP-EDR180459,XIIII
AGP-EDR151719,Veteri
AGP-EDR175861,Fortunate
AGP-EDR151056,Ver
AGP-EDR175964,Romanus
AGP-EDR149208,quin
AGP-EDR076757,Memor Cassi Cascellius
AGP-EDR167611,Manilius
AGP-EDR193312,POSPRVI
AGP-EDR168353,IIIIIIIIIIIIIIII
AGP-EDR151447,COHI
AGP-EDR151777,Liberalis
AGP-EDR151729,SIIIQBIIIIRI
AGP-EDR175875,Iucundus
AGP-EDR128061,"Anchario
lina"
AGP-EDR180718,Augusto NA
AGP-EDR175166,Crescens
AGP-EDR150504,Sisininus
AGP-EDR163695,Circius
AGP-EDR127828,"Numina
Di
"
AGP-EDR127193,Galerii
AGP-EDR160163,Carm
AGP-EDR163526,Samatissa
AGP-EDR127157,QVA
AGP-EDR175874,ABCIIQXV
AGP-EDR151677,Clodiae
AGP-EDR189394,"Ampliata 
Florilla"
AGP-EDR151043,Ampliatus
AGP-EDR149448,clim
AGP-EDR127830,Menedemerumenus
AGP-EDR159785,arma vir
AGP-EDR151049,Fortunata fellat
AGP-EDR151061,Caius cum I
AGP-EDR180341,Vitalio
AGP-EDR150376,"Victor cum Attine
hic fuit"
AGP-EDR149191,Eros
AGP-EDR149233,IIIIIIIII
AGP-EDR149181,ABCD
AGP-EDR136429,Adauctus
AGP-EDR136432,Nero
AGP-EDR136436,Caiu
AGP-EDR136431,MQN
AGP-EDR180322,Canamus
AGP-EDR151683,Vidi
AGP-EDR176983,S P R
AGP-EDR180549,Nero
AGP-EDR175942,"Sodales, avete"
AGP-EDR127396,"Mus cave 
malum"
AGP-EDR193968,"Alliget hic auras si quis
obiurgat amantes et vetet
assiduas currere fontis
aquas"
AGP-EDR193627,Fortunatu
AGP-EDR167731,IIIIIIIIIIIIIII
AGP-EDR149340,CON
AGP-EDR168026,Nicephor
AGP-EDR188623,Auriolus
AGP-EDR149404,Reus SO
AGP-EDR148679,cito
AGP-EDR175148,Lucanica IIII
AGP-EDR148789,Anteros hoc scripsit
AGP-EDR149434,Augustus
AGP-EDR166099,XII
AGP-EDR149450,Fructus
AGP-EDR166069,IIIIIIIIIIIIIIII
AGP-EDR149040,Sica
AGP-EDR168704,X CLXXV
AGP-EDR151054,CRI S
AGP-EDR151055,Romanus
AGP-EDR168028,COR  III
AGP-EDR192997,"Cornelio
Amando
feliciter"
AGP-EDR127413,"VII
N"
AGP-EDR127419,X
AGP-EDR168025,SVRR
AGP-EDR125000,Oppi
AGP-EDR151716,Iulius Quintus
AGP-EDR147139,Phoebus
AGP-EDR193805,"Proeliare, Gangens, Caesar te spectat"
AGP-EDR167429,CRVPPAC
AGP-EDR175791,Albanus cinaedus est
AGP-EDR147141,"Victor
cum"
AGP-EDR167885,"Felicio
Verus 
VIIII"
AGP-EDR173488,"Restituta rogo II
SVS"
AGP-EDR187782,VXBVCTDSERFOGPHOFMKNL
AGP-EDR149108,Victoria
AGP-EDR128758,SE
AGP-EDR149136,Paris
AGP-EDR128063,OBR
AGP-EDR168347,"Auctus
Auctus 
Vectiga"
AGP-EDR149053,Habitus
AGP-EDR148686,Secundus
AGP-EDR189777,Secundus
AGP-EDR127233,"Mille meae
Siculis errant 
"
AGP-EDR149232,IIIIIIIIIII
AGP-EDR149241,Novi
AGP-EDR151825,Successus
AGP-EDR149258,IIIIIIII
AGP-EDR192931,IIPICA
AGP-EDR167430,Quem
AGP-EDR167573,IOLO
AGP-EDR149293,Prima
AGP-EDR149204,XVS  XVS
AGP-EDR193334,Ventus
AGP-EDR149185,Hermes
AGP-EDR149162,N voco
AGP-EDR151702,"Verna Vernionis
Secundus
Secundus"
AGP-EDR148527,Florus
AGP-EDR149240,Marcus
AGP-EDR175960,EREN
AGP-EDR149163,Crescens
AGP-EDR149280,Asti
AGP-EDR192858,Reliquos X VIIII
AGP-EDR193448,NVLTVS
AGP-EDR151734,Fortunatus
AGP-EDR149283,Marca
AGP-EDR175769,"Hormus
Ho
Hormus"
AGP-EDR180543,Apaea
AGP-EDR149451,Fructus
AGP-EDR192965,MANIANVSA
AGP-EDR127145,"Iucundus fututor 


"
AGP-EDR193212,"Abluat unda pedes, puer et detergeat udos,
mappa torum velet, lintea nostra cave"
AGP-EDR149140,"Venimus
Venerunt"
AGP-EDR148435,Cressa
AGP-EDR179028,A B C D II II G H
AGP-EDR180458,RIIS XIV
AGP-EDR179032,A B
AGP-EDR179033,ABCDIIFGHKIMNVLX
AGP-EDR151781,"Ibi et tu es
EGROTENE SOIP
HATS"
AGP-EDR146187,Hermeros hic futuit
AGP-EDR149164,Marim
AGP-EDR146087,"Vitalio
bene futues"
AGP-EDR148790,Cosmus
AGP-EDR180214,Marcus
AGP-EDR124971,IIIIIIIIIIIIIIIIIIIII IIIIIIIIIIIII
AGP-EDR149284,Ianuariae
AGP-EDR151041,Ver et Anedia
AGP-EDR124991,"Plataco 
turuda"
AGP-EDR176439,"A B
D"
AGP-EDR124999,Cosmus
AGP-EDR176440,A B C D
AGP-EDR127212,Evanthus
AGP-EDR180708,AMP
AGP-EDR176981,SER
AGP-EDR128650,X
AGP-EDR176980,Q R B
AGP-EDR176100,Socium
AGP-EDR149211,Latinus
AGP-EDR128546,"IIIIIIIIIIII
IIIIIIIIIIIIIII
IIIIIIIIIIIIII
IIII
"
AGP-EDR149238,Hervi
AGP-EDR149248,Hellespontus
AGP-EDR128740,pascela
AGP-EDR151681,Crescentis locus
AGP-EDR149143,Paris
AGP-EDR149149,"Marius 
NAR"
AGP-EDR151772,Cissus
AGP-EDR151782,Fructus
AGP-EDR151798,Armaturiis
AGP-EDR151771,Non pos
AGP-EDR151808,Corinthus
AGP-EDR151836,Narcissus
AGP-EDR150386,Si quis
AGP-EDR163400,Telesius
AGP-EDR161826,Vitalis
AGP-EDR163399,Lucius
AGP-EDR163598,Ampliatus
AGP-EDR163696,Mebi venio
AGP-EDR167114,Blastus
AGP-EDR167912,RR
AGP-EDR149447,Cadia
AGP-EDR166616,"Russa vale
XIIISIINDI"
AGP-EDR168761,AXCDFER
AGP-EDR167425,Proculus
AGP-EDR167818,Faustus
AGP-EDR168295,DVS
AGP-EDR167860,IST F pedico NIIIC V
AGP-EDR177558,N  XXI
AGP-EDR175775,CELA
AGP-EDR168041,"M
Q
Q
Q"
AGP-EDR167881,MINI
AGP-EDR167954,Anatolii
AGP-EDR151921,A SER XXXI
AGP-EDR175145,Venimus
AGP-EDR175161,Fora
AGP-EDR175796,Receptus
AGP-EDR175239,Quintus
AGP-EDR175756,Eulymenus
AGP-EDR175771,Phrastes
AGP-EDR151947,Caustulus
AGP-EDR151941,Osculo
AGP-EDR180713,COS
AGP-EDR179259,Schola
AGP-EDR180552,Habitos
AGP-EDR179827,ANT
AGP-EDR176977,Lucretio
AGP-EDR180704,"Lana
LV
Lana XXIX pondo"
AGP-EDR187776,ABCDEFGHIKLMNOPQRSTVX
AGP-EDR187910,ABCDEFGHIKLMN
AGP-EDR192936,Aemilius
AGP-EDR188625,Caelo
AGP-EDR189987,Alcis
AGP-EDR189763,Adiutor
AGP-EDR191927,Stronni
AGP-EDR191406,"Littera Theorianis semper dictura salutem
nomine nunc Dextri tempus in omne manet"
AGP-EDR159697,arma vir
AGP-EDR191910,"Felicem Aufidium felicem semper deus
faciat"
AGP-EDR192629,Neronem
AGP-EDR151340,Narcissus
AGP-EDR151332,Modestus
AGP-EDR151345,Romanus
AGP-EDR177566,"puer
Successus"
AGP-EDR192864,VIII
AGP-EDR192868,COINC
AGP-EDR192885,"I XXIX
II XXXIIX
III XXXII
IIII XXXI"
AGP-EDR192782,Hegium
AGP-EDR193062,muner
AGP-EDR193436,Montanus
AGP-EDR193440,Quartio
AGP-EDR193455,Munatius
AGP-EDR193821,MYTCC
AGP-EDR166070,IIIIIIIIIIIIIIIIII
AGP-EDR193616,Secundus
AGP-EDR189995,AON
AGP-EDR193822,Iucundus
AGP-EDR193607,Speratus Habito
AGP-EDR193949,ABCDIIIHG
AGP-EDR124969,"IIIIIIIIIIIIIIII
IIIIIIIIIIII IIIIIII
IIIIIIIII II IIIIIIII
IIIII IIIIIII"
AGP-EDR145433,Facilis hic futuit
AGP-EDR128548,IIIIIIIIIII
AGP-EDR128555,"XXIIIIIII
VIIII VIII VII
IIII IIIIII IIIIII IIIIIIII IIIIIIII
X IIIIIIII IIIIIIII IIIIII
IIIIII XXIIIIIIIIII
XVII IIIIIIIIIIIII
XXXXX X IIIIIII III
IIIII XXXXX"
AGP-EDR148683,"Trofime
XIX"
AGP-EDR192955,Successus
AGP-EDR151059,"he
he
hac"
AGP-EDR127360,XXXX
AGP-EDR151065,Castrensis
AGP-EDR151851,"Rusticus
Rusticus"
AGP-EDR166085,"VI
"
